scenario,viewport,precondition,interaction,expected_visual_state,expected_focus,expected_route,screenshot_name,pass_criterion,known_nondeterminism
story_direct,1440,"approved Story release and 16 IDs","open /#answers","headline warning controls 16-node scene summary CTA","main or hash target","/#answers","story__answers__default__1440x1000.png","Story role is legible and no Explorer-only density appears","font rasterization"
story_16_default,375,"approved 16-node contract","open /#answers","exact 16 canonical glyphs; pan instruction if canvas scrolls","main then controls","/#answers","story__answers__16nodes__375x812.png","16 IDs and all parity fields match Explorer","scrollbar width"
story_status_filter,768,"Story ready","set status active","coordinates unchanged; count and visible nodes update","status control","/?status=active&view=nodes#answers","story__answers__status-active__768x1024.png","URL count and marks agree; selected node cleared only if excluded","history timing"
story_answer_type_filter,1440,"Story ready","toggle A1 and A7","canonical types order and immutable map","activated type control","/?types=A1%2CA7&view=nodes#answers","story__answers__types-a1-a7__1440x1000.png","only approved subset intersection remains","none"
story_empty_filter,375,"known zero intersection","apply empty combination","0 cue and explicit empty state; no DataUnavailable copy","last filter","/?status=<x>&types=<y>&view=nodes#answers","story__answers__empty__375x812.png","empty is visible without searching below an empty scene","none"
story_keyboard_selection,768,"Story ready","focus list Arrow key Enter","focus halo then selection ring and summary","selected node button","/#answers with node state if contract retains it","story__answers__keyboard-selected__768x1024.png","focus and selected are distinct; unique announcement","focus ring antialiasing"
story_touch_selection,375,"touch emulation","tap smallest reachable node","44px target selection and in-flow summary","touch has no DOM focus requirement","/#answers","story__answers__touch-selected__375x812.png","same node/summary as DOM activation; page vertical scroll not trapped","device pixel ratio"
story_evidence_available,375,"selected node has approved evidence","activate evidence","Bottom Sheet with canonical record","close or heading","/evidence/<id> with Story background","story__evidence__available__375x812.png","approved record and provenance render; Story state retained","drawer animation disabled for capture"
story_evidence_unavailable,1440,"selected node lacks public evidence","inspect selection","node remains normal; explicit evidence-unavailable copy","selected node control or summary","/#answers","story__evidence__unavailable__1440x1000.png","no disabled-node styling and no dead action","none"
story_cta_filter_carry,1440,"Story filters set","activate 전체 지도 보기","Explorer opens with same filter values","Explorer main or result summary","/atlas?<same status/types>&view=nodes","story__cta__filter-carry__1440x1000.png","status/types identical; no Story-only node mutation","route lazy-load timing"
atlas_direct,1440,"approved release pointer","open /atlas","map-first Explorer controls legend inspector and count","main","/atlas","atlas__default__1440x1000.png","approved release shown; no mock provenance","font rasterization"
atlas_selected_deep_link,1440,"valid node ID","open node query","selection ring and matching inspector","main; no forced focus","/atlas?node=<id>&view=nodes","atlas__selected-deeplink__1440x1000.png","selected ID inspector and DOM pressed state match","none"
atlas_invalid_node,1440,"invalid node ID","open node query","compact inverse invalid-node state; filters retained","main","/atlas?node=<invalid>&view=nodes","atlas__invalid-node__1440x1000.png","clear removes node only","none"
atlas_empty_filter,1440,"known zero intersection","apply filter","immediate 0 cue plus empty panel; domain retained","filter control","/atlas?status=<x>&types=<y>&view=nodes","atlas__empty-filter__1440x1000.png","not confused with DataUnavailable","none"
atlas_keyboard_selection,1440,"Explorer ready","ArrowRight Enter Escape","spatial focus select then clear","same DOM node","/atlas then node query then /atlas","atlas__keyboard-selected__1440x1000.png","unique name and live announcements pass","none"
atlas_touch_selection,375,"Explorer ready","horizontal pan then tap","deterministic node selection and in-flow inspector","no keyboard focus required","/atlas?node=<id>&view=nodes","atlas__touch-selected__375x812.png","44px target and no vertical-scroll hijack","device pixel ratio"
evidence_drawer,1440,"approved evidence record","open from Explorer","right Drawer with identical canonical fields","close or heading","/evidence/<id> with background","evidence__drawer__1440x1000.png","background inert; focus trapped; provenance complete","animation disabled"
evidence_direct,1440,"same approved ID","open direct URL","full page with same fields and labels","main/h1","/evidence/<id>","evidence__direct__1440x1000.png","semantic content equals Drawer; only chrome differs","none"
back_forward,1440,"Explorer ready","change filters select node open/close evidence Back Forward","each URL state restored without coordinate change","logical control or invoker","history sequence","atlas__history-restored__1440x1000.png","control count selection inspector and focus coherent","browser history timing"
responsive_375,375,"all routes ready","capture Story Atlas Evidence","single column no body overflow; 44px targets","n/a","multiple","responsive__375x812.png","no clipped focus or covered CTA","scrollbar width"
responsive_768,768,"all routes ready","capture Story Atlas Evidence","stacked composition and near-fit map","n/a","multiple","responsive__768x1024.png","no accidental two-column squeeze","scrollbar width"
responsive_1440,1440,"all routes ready","capture Story Atlas Evidence","map-first 2:1 Explorer and capped Story stage","n/a","multiple","responsive__1440x1000.png","hierarchy matches layout matrix","font rasterization"
responsive_1920,1920,"all routes ready","capture Story Atlas Evidence","wide frame without over-stretched Story scene","n/a","multiple","responsive__1920x1080.png","readable measure and useful map scale","font rasterization"
reduced_motion,1440,"prefers-reduced-motion reduce","filter select open drawer","no scale translate smooth scroll or replayed decorative motion","same as standard","same as standard","a11y__reduced-motion__1440x1000.png","state meaning preserved in first frame","none"
zoom_200,375,"browser zoom 200% equivalent","operate controls select evidence","reflow without hidden controls or two-dimensional page overflow","visible focused control","same as standard","a11y__zoom-200__375x812.png","all operations complete and focus visible","browser zoom rendering"
forced_colors,375,"forced-colors active","focus and select nodes","family status focus selection remain distinguishable with text","focused node","/atlas?node=<id>&view=nodes","a11y__forced-colors__375x812.png","no channel collapses to indistinguishable marks","OS theme"
