order,route,state,viewport,interaction_before_capture,filename,mask_policy
1,/#answers,default,375x812,"scroll chapter start; wait fonts",story__answers__default__375x812.png,"no data masks"
2,/#answers,default,768x1024,"scroll chapter start; wait fonts",story__answers__default__768x1024.png,"no data masks"
3,/#answers,default,1440x1000,"scroll chapter start; wait fonts",story__answers__default__1440x1000.png,"no data masks"
4,/#answers,default,1920x1080,"scroll chapter start; wait fonts",story__answers__default__1920x1080.png,"no data masks"
5,/atlas,default,375x812,"wait approved bundle",atlas__default__375x812.png,"no masks"
6,/atlas,default,768x1024,"wait approved bundle",atlas__default__768x1024.png,"no masks"
7,/atlas,default,1440x1000,"wait approved bundle",atlas__default__1440x1000.png,"no masks"
8,/atlas,default,1920x1080,"wait approved bundle",atlas__default__1920x1080.png,"no masks"
9,/atlas,selected,1440x1000,"select fixed canonical node",atlas__selected__1440x1000.png,"fixed node ID"
10,/atlas,empty,1440x1000,"apply fixed zero filter",atlas__empty__1440x1000.png,"fixed query"
11,/atlas,invalid,1440x1000,"open fixed invalid ID",atlas__invalid__1440x1000.png,"fixed invalid ID"
12,/evidence/<valid>,drawer,1440x1000,"open from fixed node",evidence__drawer__1440x1000.png,"fixed evidence ID"
13,/evidence/<valid>,bottom_sheet,375x812,"open from fixed node",evidence__bottom-sheet__375x812.png,"fixed evidence ID"
14,/evidence/<valid>,direct,1440x1000,"direct entry",evidence__direct__1440x1000.png,"fixed evidence ID"
15,/atlas,reduced_motion,1440x1000,"emulate reduce and select fixed node",a11y__reduced-motion__1440x1000.png,"fixed node ID"
16,/atlas,forced_colors,375x812,"emulate HC and focus/select",a11y__forced-colors__375x812.png,"fixed node ID"
17,/atlas,zoom_200,375x812,"set 200% zoom and operate controls",a11y__zoom-200__375x812.png,"no masks"
