decision_id,question,why_required,available_evidence,options,recommended_option,risk_if_deferred,owner,required_gate
UXD-001,How prominently must MOCK be labeled in every Story scene?,current public surfaces read as factual,source and screenshots,persistent scene banner or remove production exposure,persistent MOCK banner until approved data,trust damage,Product + Editorial,DATA_STATE_INTEGRITY
UXD-002,Should Story Preview use the new Atlas ViewModel now?,two incompatible contracts exist,new shared Atlas modules,share approved VM or keep mock isolation,share contract and render DataUnavailable when no bundle,Story Explorer drift,Agent 3,VIEWMODEL_ADAPTER_PASS
UXD-003,What controls belong in Story Preview?,current 4 controls exceed limited editorial scene,375 screenshot,status and type only versus current four,status and answer type plus reset; remove label toggle,control density,Product Design,STORY_PREVIEW_UX
UXD-004,How should Full Explorer be discoverable?,direct route exists but zero CTA,flow check,header nav or Story CTA or both,Story CTA carrying filters plus optional header route,dead-end IA,Product,ATLAS_ROUTE_PASS
UXD-005,What should DataUnavailable CTA and message be?,state is correct but CTA label invisible,screenshots,Story return plus methodology link,visible Story return and data status explanation,blocked users cannot recover,Design + Frontend,VISUAL_QA_PASS
UXD-006,How are topic regions and centroids exposed?,adapter loads them but renderer ignores them,source,default hidden or labeled layers,topic regions light default and centroid toggle after approved data,analytical contract incomplete,Product + Data,ATLAS_RENDER_PASS
UXD-007,How is approved evidence detail routed?,Atlas inspector opens mock DetailPage,new repository versus old route,route loader or repository provider,route-level approved EvidenceRepository with full page and overlay,broken evidence traceability,Agent 3,EVIDENCE_TRACEABILITY_PASS
UXD-008,What Atlas state is shared with Story?,Story local state loses reload,flow evidence,status/types only versus full node state,status and types in both; node only Full Explorer,non-restorable preview,Product + Frontend,ATLAS_UX_CONTRACT_READY
UXD-009,Is pan zoom needed?,0 approved nodes and no performance evidence,contract and metrics,none or 2D controls,none for v1 until measured need,complexity without task value,Product,RENDERER_DECISION_READY
UXD-010,Should 3D be considered?,no z axis and no approved bundle,dependency and contract audit,defer or analytical extrusion,defer; require Decision Log and approved z variable,semantic misrepresentation,Product + Data,RENDERER_GATE
UXD-011,What mobile overlay breakpoint is authoritative?,Drawer CSS becomes bottom sheet-like at 640,375 capture,640 fixed or content-based,retain 640 provisionally and validate approved evidence density,clipping and focus issues,Design,ACCESSIBILITY_PASS
UXD-012,How are per-route titles managed?,all routes share one title,DOM capture,static or route metadata,route-specific titles including Atlas and detail,orientation failure,Frontend,ROUTING_FOUNDATION_REVIEWED
