claim_pattern,risk,classification,approved_replacement,owner
"2D상 가까우므로 실제 의미가 매우 유사하다","projection overclaim",PROHIBITED,"같은 2D 표시 영역에 놓였지만 거리 자체는 유사도 점수가 아닙니다",EDITORIAL_COPY
"큰 node이므로 더 중요하다","mass-to-importance fallacy",PROHIBITED,"큰 node는 정규화된 답변 규모가 큽니다",EDITORIAL_COPY
"특정 상태가 특정 behavior를 유발했다","causal overclaim",PROHIBITED,"해당 상태와 behavior가 함께 관찰되었습니다",EDITORIAL_COPY
"A1-A8은 모두 회피 유형이다","taxonomy distortion",PROHIBITED,"A1-A4 정보부재·비직접 / A5-A6 유보·절차 / A7-A8 조치·근거",DATA_CONTRACT
"시각 군집은 <자동 생성 topic>이다","unsupported cluster naming",PROHIBITED,"승인된 topic-bin label이 있을 때만 표시",DATA_CONTRACT
"추진완료는 독립 검증 완료다","reported/verified conflation",PROHIBITED,"추진완료는 보고 상태이며 검증 상태는 별도로 표시",EDITORIAL_COPY
"140개 node가 전체 답변 원문이다","grain confusion",PROHIBITED,"140개 aggregate node",EDITORIAL_COPY
"Story 16개는 최종 승인됐다","lifecycle overclaim",PROHIBITED,"현재 16개 목록은 후보 시뮬레이션이며 승인 계약은 대기 중",DATA_CONTRACT
"DG761은 production current release다","pointer overclaim",PROHIBITED,"로컬 env override로 관찰한 base release; canonical pointer는 차단됨",QA_ONLY
"Evidence 링크가 있으면 공개 가능하다","publication eligibility gap",PROHIBITED,"approved public provenance-valid detail이 repository에서 해석될 때만 공개",DATA_CONTRACT
