category,path,include_in_routing_commit,staging_mode,reason,risk
routing-foundation,.gitignore,YES,file,"QA ignore policy",low
routing-foundation,.nvmrc,YES,file,"Node 20.20.1 pin",low
routing-foundation,package.json,YES,file,"routing QA scripts and dependencies",medium
routing-foundation,package-lock.json,YES,file,"synchronized official lockfile",medium
routing-foundation,eslint.config.js,YES,file,"zero-warning lint contract",low
routing-foundation,vitest.config.ts,YES,file,"unit test boundary",low
routing-foundation,playwright.config.ts,YES,file,"routing E2E configuration",low
routing-foundation,tsconfig.json,YES,file,"alias and test types",low
routing-foundation,vite.config.ts,YES,file,"matching alias and dev configuration",low
routing-foundation,index.html,YES,file,"overlay portal root and metadata",low
routing-foundation,public/favicon.svg,YES,file,"prevent favicon request noise",low
routing-foundation,src/main.tsx,YES,file,"BrowserRouter entry",high
routing-foundation,src/App.tsx,YES,file,"provider and router composition",high
routing-foundation,src/app/App.tsx,YES,file,"composition parity",low
routing-foundation,src/app/providers/OverlayProvider.tsx,YES,file-delete,"remove monolithic overlay state",high
routing-foundation,src/app/providers/AppProviders.tsx,YES,file,"preference provider composition",medium
routing-foundation,src/app/router/AppRouter.tsx,YES,hunk,"include routing foundation; EXCLUDE lazy Atlas imports/constants/route hunk",critical
routing-foundation,src/app/router/AppShell.tsx,YES,file,"header outlet footer shell",medium
routing-foundation,src/app/router/AppScrollRestoration.tsx,YES,file,"non-hash scroll policy",medium
routing-foundation,src/app/router/DetailPage.tsx,YES,file,"direct detail routes",high
routing-foundation,src/app/router/EvidenceRouteOverlay.tsx,YES,file,"background-location route drawer",high
routing-foundation,src/app/router/FoundationsPage.tsx,YES,file,"development-only gallery",low
routing-foundation,src/app/router/NotFoundPage.tsx,YES,file,"wildcard 404",low
routing-foundation,src/app/router/RouteErrorBoundary.tsx,YES,file,"route failure boundary",medium
routing-foundation,src/app/router/routeConfig.ts,YES,file,"primary route metadata",low
routing-foundation,src/shared/config/chapterNavigation.ts,YES,file,"seven chapter hash contract",medium
routing-foundation,src/shared/providers/PreferencesProvider.tsx,YES,file,"presentation/reduced-motion ownership",medium
routing-foundation,src/shared/providers/preferenceContext.ts,YES,file,"preference context",low
routing-foundation,src/shared/hooks/usePreferences.ts,YES,file,"preference consumer",low
routing-foundation,src/shared/hooks/useDetailNavigation.ts,YES,file,"background-location navigation",high
routing-foundation,src/shared/hooks/useBodyScrollLock.ts,YES,file,"modal scroll isolation",high
routing-foundation,src/shared/hooks/useFocusTrap.ts,YES,file,"modal focus containment",high
routing-foundation,src/shared/hooks/useReturnFocus.ts,YES,file,"opener focus return",high
routing-foundation,src/shared/types/routing.ts,YES,file,"route state contracts",low
routing-foundation,src/shared/ui/navigation/ChapterHashController.tsx,YES,file,"hash restoration",high
routing-foundation,src/shared/ui/overlay/OverlayPortal.tsx,YES,file,"single portal root",high
routing-foundation,src/shared/ui/overlay/Dialog.tsx,YES,file,"modal accessibility",high
routing-foundation,src/shared/ui/overlay/Drawer.tsx,YES,file,"desktop drawer",medium
routing-foundation,src/shared/ui/overlay/BottomSheet.tsx,YES,file,"mobile sheet",medium
routing-foundation,src/shared/ui/overlay/overlay.types.ts,YES,file,"overlay types",low
routing-foundation,src/app/styles/layout.css,YES,file,"hash offset and modal layout",high
routing-foundation,src/app/styles/tokens.css,YES,file,"missing/header/contrast tokens",medium
routing-foundation,src/pages/story/StoryPage.tsx,YES,file,"observer and explicit hash navigation",high
