criterion,current_evidence,status,risk,required_contract
SVG accessible name,"title and desc referenced by aria-labelledby",CONFIRMED,low,"Preserve concise name and dynamic summary"
chart summary,"Summary reports total matched context excluded and encoding",CONFIRMED,low,"Use reader-facing Korean and avoid internal-only jargon"
keyboard traversal,"Roving DOM navigator supports arrows Home End Enter Space Escape",CONFIRMED,medium,"Keep spatial movement and document no-wrap boundaries"
unique node names,"140 buttons expose only 20 unique accessible names; 120 duplicates",CONTRADICTED,critical,"Include topic label answer count and stable short ID"
44x44 effective target,"Minimum hit target 44x44 at 375/768; larger at desktop",CONFIRMED,medium,"Reverify after Story renderer composition"
hit target separation,"140 nodes produce 1133 hit-overlap pairs and every node overlaps",CONTRADICTED,critical,"Upstream display-coordinate gate plus deterministic nearest-hit and DOM alternative"
color independence,"Family shape inner answer mark and status dash supplement fill",CONFIRMED,medium,"Legend must expose all channels and forced-colors semantics"
focus versus selection,"Focus halo offset 13 and selection ring offset 7 are separate",CONFIRMED,medium,"Focused-selected must show both without clipping"
focus return,"Drawer Escape restored invoking evidence button",CONFIRMED,low,"Fallback to list heading controls chart main"
live result count,"Polite live region reports counts focus and selection",CONFIRMED,medium,"Announce filter names and evidence unavailable separately"
reduced motion,"prefers-reduced-motion removes practical transition and smooth scroll",CONFIRMED,low,"Manual toggle must be equivalent"
contrast small red text,"signal-red on paper is 3.83:1",CONTRADICTED,high,"Use signal-red-dark for normal text; reserve signal-red for large display or non-text marks"
forced colors,"CSS maps glyph fill/stroke to Canvas/CanvasText and focus to Highlight",PARTIALLY_CONFIRMED,high,"Selection must remain distinct from focus and status in manual HC QA"
zoom 200,"Not executed in this preflight",NOT_VERIFIABLE,high,"Mandatory post-implementation manual scenario"
